region,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2000,28.640249,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2001,28.878185,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2002,29.193302,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2003,29.50596,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2004,29.816133,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2005,30.150665,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2006,30.482895,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2007,30.812588,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2008,31.139519,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2009,31.462452,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2010,31.782602,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2011,32.098953,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2012,32.411907,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2013,32.716537,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2014,33.013927,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2015,33.303394,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2016,33.585236,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2017,33.85936,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2018,34.12569,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2019,34.384335,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2020,34.635223,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2000,11.159185,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2001,11.332025,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2002,11.503407,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2003,11.673196,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2004,11.841402,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2005,12.007898,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2006,12.172843,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2007,12.336109,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2008,12.497852,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2009,12.657132,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2010,12.814328,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2011,12.969274,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2012,13.074538,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2013,13.176332,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2014,13.274844,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2015,13.370005,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2016,13.462,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2017,13.550764,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2018,13.636478,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2019,13.719142,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2020,13.798869,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2000,17.592901,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2001,18.391563,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2002,19.190226,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2003,19.988888,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2004,20.787548,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2005,21.58621,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2006,22.384872,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2007,23.183535,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2008,23.982197,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2009,24.341642,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2010,24.672777,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2011,24.975599,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2012,25.250113,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2013,24.768431,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2014,24.286747,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2015,23.805065,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2016,23.323381,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2017,22.8417,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2018,22.8417,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2019,22.8417,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2020,22.8417,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2000,14.604035,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2001,21.78866,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2002,28.973286,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2003,36.157909,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2004,43.342537,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2005,50.527157,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2006,57.711784,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2007,64.896408,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2008,72.081032,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2009,79.265656,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2010,86.450287,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2011,93.634903,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using sanitation facilities connected to sewer networks and with sewage treated to at least secondary levels,2012,100,Total,,%,,,,Total
